uid,latitude,longitude,free_bikes
bcycle_lametro_3037,34.0348,-118.23128,10
bcycle_lametro_3036,34.03919,-118.23253,9
bcycle_lametro_3032,34.04989,-118.25588,8
bcycle_lametro_3024,34.05772,-118.24897,7
bcycle_lametro_3025,34.03286,-118.26808,8
bcycle_lametro_3020,34.03105,-118.26709,9
bcycle_lametro_3022,34.04607,-118.23309,16
bcycle_lametro_3010,34.03705,-118.25487,7
bcycle_lametro_3014,34.05661,-118.23721,13
bcycle_lametro_3016,34.0529,-118.24156,7
bcycle_lametro_3018,34.04373,-118.26014,7
bcycle_lametro_4293,34.06228,-118.27152,5
bcycle_lametro_4405,34.0519,-118.29368,12
bcycle_lametro_4404,34.04813,-118.27103,4
bcycle_lametro_4401,34.07561,-118.29186,3
bcycle_lametro_4390,34.06927,-118.29659,9
bcycle_lametro_3006,34.04554,-118.25667,3
bcycle_lametro_3007,34.05048,-118.25459,10
bcycle_lametro_3008,34.04661,-118.26273,4
bcycle_lametro_4313,34.05681,-118.275,9
bcycle_lametro_4311,34.05969,-118.29466,4
bcycle_lametro_4315,34.05403,-118.27092,5
bcycle_lametro_4314,34.05771,-118.27976,9
bcycle_lametro_4267,34.02762,-118.28068,6
bcycle_lametro_4266,34.02629,-118.27769,7
bcycle_lametro_3077,34.03987,-118.25004,3
bcycle_lametro_3076,34.0406,-118.25384,11
bcycle_lametro_3078,34.06428,-118.23894,4
bcycle_lametro_4250,34.03017,-118.28095,7
bcycle_lametro_4387,34.03352,-118.24184,8
bcycle_lametro_3082,34.04652,-118.23741,14
bcycle_lametro_3081,34.03189,-118.25018,8
bcycle_lametro_4301,34.09905,-118.2915,6
bcycle_lametro_4302,34.09249,-118.29144,3
bcycle_lametro_4306,34.05765,-118.29218,6
bcycle_lametro_4273,34.02586,-118.2841,9
bcycle_lametro_4249,34.0203,-118.28118,7
bcycle_lametro_4248,34.02835,-118.28867,9
bcycle_lametro_4245,34.02404,-118.28341,7
bcycle_lametro_4247,34.03364,-118.29131,4
bcycle_lametro_4246,34.02371,-118.27917,7
bcycle_lametro_3054,34.03922,-118.23649,6
bcycle_lametro_3057,34.03568,-118.27081,0
bcycle_lametro_3056,34.03746,-118.26538,8
bcycle_lametro_4254,34.02868,-118.28411,3
bcycle_lametro_3052,34.0511,-118.26456,6
bcycle_lametro_3058,34.0358,-118.23317,4
bcycle_lametro_4227,34.0298,-118.27031,5
bcycle_lametro_3048,34.04169,-118.23535,4
bcycle_lametro_3049,34.05697,-118.25359,8
bcycle_lametro_4220,34.07483,-118.25873,6
bcycle_lametro_3042,34.0493,-118.23881,10
bcycle_lametro_3040,34.05357,-118.26636,5
bcycle_lametro_3047,34.03998,-118.2664,12
bcycle_lametro_3045,34.02851,-118.25667,3
bcycle_lametro_4410,34.06335,-118.2968,10
bcycle_lametro_3079,34.05014,-118.23319,6
bcycle_lametro_3063,34.04804,-118.25374,9
bcycle_lametro_4437,34.10536,-118.28727,3
bcycle_lametro_4436,34.10578,-118.29194,3
bcycle_lametro_4438,34.09493,-118.28456,6
bcycle_lametro_4441,34.02662,-118.28181,4
bcycle_lametro_4440,34.06166,-118.29824,6
bcycle_lametro_4442,34.098,-118.30047,4
bcycle_lametro_4444,34.06162,-118.30557,7
bcycle_lametro_4449,34.04557,-118.27419,7
bcycle_lametro_4453,34.08265,-118.28439,1
bcycle_lametro_4447,34.0616,-118.28199,5
bcycle_lametro_4446,34.05323,-118.27842,6
bcycle_lametro_4451,34.10363,-118.29131,6
bcycle_lametro_4452,34.10233,-118.28746,4
bcycle_lametro_4456,34.05243,-118.30202,7
bcycle_lametro_4454,34.0179,-118.29172,7
bcycle_lametro_4482,34.09437,-118.33101,8
bcycle_lametro_4450,34.06349,-118.28716,9
bcycle_lametro_4455,34.10936,-118.27181,6
bcycle_lametro_4483,34.1007,-118.25912,4
bcycle_lametro_4473,34.07159,-118.28229,5
bcycle_lametro_4439,34.09097,-118.28625,7
bcycle_lametro_4275,34.01252,-118.2859,8
bcycle_lametro_4490,34.05355,-118.25584,11
bcycle_lametro_4478,34.10424,-118.2737,6
bcycle_lametro_4479,34.0315,-118.28874,3
bcycle_lametro_4475,34.04518,-118.24325,4
bcycle_lametro_4474,34.11003,-118.28716,4
bcycle_lametro_4524,34.06163,-118.30119,4
bcycle_lametro_4523,34.06875,-118.30928,7
bcycle_lametro_4512,34.04381,-118.26497,10
bcycle_lametro_4304,34.06258,-118.29009,7
bcycle_lametro_4538,34.06543,-118.30882,3
bcycle_lametro_4516,34.04585,-118.2544,3
bcycle_lametro_4518,34.05797,-118.29975,3
bcycle_lametro_3031,34.0447,-118.25244,13
bcycle_lametro_3064,34.04613,-118.25759,7
bcycle_lametro_4540,34.04776,-118.22541,10
bcycle_lametro_4513,34.08371,-118.29602,10
bcycle_lametro_4511,34.05628,-118.23177,9
bcycle_lametro_4216,34.02339,-118.47964,9
bcycle_lametro_4204,33.98842,-118.45163,9
bcycle_lametro_4215,34.01431,-118.49134,13
bcycle_lametro_4210,33.98434,-118.47155,8
bcycle_lametro_4568,34.02912,-118.40317,6
bcycle_lametro_4202,33.99116,-118.46829,11
bcycle_lametro_4543,33.95718,-118.45125,0
bcycle_lametro_4544,33.92846,-118.4352,10
bcycle_lametro_4545,33.95879,-118.44828,3
bcycle_lametro_4205,33.99377,-118.45367,6
bcycle_lametro_4207,34.00088,-118.46891,11
bcycle_lametro_4206,33.99834,-118.46101,16
bcycle_lametro_4558,34.02569,-118.3953,4
bcycle_lametro_4582,33.98099,-118.41488,6
bcycle_lametro_4583,33.97619,-118.41842,11
bcycle_lametro_4556,34.00902,-118.42501,6
bcycle_lametro_4554,34.00351,-118.43438,6
bcycle_lametro_4571,34.02765,-118.41356,6
bcycle_lametro_4572,34.02948,-118.41047,6
bcycle_lametro_4564,34.03535,-118.43414,3
bcycle_lametro_4212,33.98813,-118.47174,6
bcycle_lametro_4573,34.03047,-118.42098,3
bcycle_lametro_4560,34.01737,-118.4206,6
bcycle_lametro_4559,34.02199,-118.4165,5
bcycle_lametro_4580,33.98292,-118.41093,5
bcycle_lametro_4546,34.0314,-118.45363,7
bcycle_lametro_4570,34.01376,-118.4178,6
bcycle_lametro_4555,34.00587,-118.42916,4
bcycle_lametro_4569,34.02655,-118.40846,4
bcycle_lametro_4566,34.02339,-118.39922,2
bcycle_lametro_4567,34.02018,-118.40403,6
bcycle_lametro_4557,34.0118,-118.41944,6
bcycle_lametro_4208,33.99868,-118.47298,9
bcycle_lametro_4577,33.99302,-118.41491,5
bcycle_lametro_4536,33.98908,-118.46226,5
bcycle_lametro_4549,34.02245,-118.43833,9
bcycle_lametro_4211,33.98493,-118.46996,4
bcycle_lametro_4209,33.99624,-118.47745,9
bcycle_lametro_4562,34.02697,-118.42821,10
bcycle_lametro_4561,34.02006,-118.42268,4
bcycle_lametro_4553,33.99958,-118.44136,4
bcycle_lametro_4214,33.99556,-118.48155,3
bcycle_lametro_4581,33.97024,-118.42607,4
bcycle_lametro_4486,34.06126,-118.2586,6
bcycle_lametro_4548,34.02683,-118.39352,3
bcycle_lametro_4521,33.99032,-118.41205,5
bcycle_lametro_4300,34.04887,-118.2743,6
bcycle_lametro_4575,34.00031,-118.40253,7
bcycle_lametro_4565,33.98995,-118.43467,5
bcycle_lametro_4255,33.97366,-118.42286,6
bcycle_lametro_4217,34.04031,-118.25827,7
bcycle_lametro_4579,33.98486,-118.43113,6
bcycle_lametro_4576,34.02258,-118.40551,6
bcycle_lametro_4587,34.06079,-118.30907,9
bcycle_lametro_4492,34.03687,-118.4255,8
bcycle_lametro_4443,34.02209,-118.27979,7
bcycle_lametro_4578,34.04298,-118.25295,4
bcycle_lametro_4552,33.99097,-118.4213,7
bcycle_lametro_4547,33.9897,-118.44888,5
bcycle_lametro_3068,34.0532,-118.25095,7
bcycle_lametro_4477,34.10385,-118.32546,10
bcycle_lametro_4526,34.10338,-118.34919,8
bcycle_lametro_4584,34.09435,-118.32636,9
bcycle_lametro_4528,34.06097,-118.44437,6
bcycle_lametro_4487,34.06211,-118.44692,12
bcycle_lametro_4614,34.07365,-118.43984,10
bcycle_lametro_4606,34.16863,-118.37707,5
bcycle_lametro_4600,34.17765,-118.38231,7
bcycle_lametro_4605,34.152,-118.3506,8
bcycle_lametro_4604,34.15832,-118.37081,6
bcycle_lametro_4601,34.16171,-118.37282,3
bcycle_lametro_4603,34.15214,-118.36195,4
bcycle_lametro_4602,34.16495,-118.36363,3
bcycle_lametro_4599,34.16875,-118.36187,5
bcycle_lametro_4598,34.16552,-118.37515,5
bcycle_lametro_4595,34.16835,-118.3875,12
bcycle_lametro_4597,34.16522,-118.35515,5
bcycle_lametro_4596,34.16833,-118.39616,3
bcycle_lametro_4472,34.0926,-118.28093,9
bcycle_lametro_4476,34.08252,-118.27272,5
bcycle_lametro_4491,34.04744,-118.24794,4
bcycle_lametro_4493,34.09028,-118.27719,9
bcycle_lametro_4494,34.07598,-118.25601,8
bcycle_lametro_4445,34.07364,-118.25157,11
bcycle_lametro_4510,34.07735,-118.26455,5
bcycle_lametro_4457,34.10011,-118.28986,3
bcycle_lametro_3030,34.05194,-118.24353,8
bcycle_lametro_4529,34.10186,-118.33329,4
bcycle_lametro_3028,34.05832,-118.24609,9
bcycle_lametro_3026,34.06318,-118.24588,6
bcycle_lametro_3027,34.04998,-118.24716,9
bcycle_lametro_4509,34.10164,-118.30917,7
bcycle_lametro_4527,34.102,-118.33741,9
bcycle_lametro_4406,34.10189,-118.30061,9
bcycle_lametro_4534,34.10186,-118.32811,4
bcycle_lametro_3065,34.06056,-118.23833,7
bcycle_lametro_3069,34.05088,-118.24825,11
bcycle_lametro_4539,34.10176,-118.33474,5
bcycle_lametro_4525,34.10038,-118.3418,5
bcycle_lametro_4517,34.10196,-118.33885,0
bcycle_lametro_3046,34.05287,-118.24749,10
bcycle_lametro_4480,34.05896,-118.25059,6
bcycle_lametro_4303,34.09801,-118.28707,6
bcycle_lametro_4537,34.09823,-118.33882,17
bcycle_lametro_3075,34.04211,-118.25619,12
bcycle_lametro_3005,34.0485,-118.25854,13
bcycle_lametro_3035,34.0484,-118.26095,17
bcycle_lametro_3066,34.06339,-118.23616,12
bcycle_lametro_3062,34.04775,-118.24317,7
bcycle_lametro_3019,34.03861,-118.26086,8
bcycle_lametro_4448,34.03027,-118.27319,6
bcycle_lametro_4213,33.99537,-118.4648,6
bcycle_lametro_4514,34.04655,-118.45144,5
bcycle_lametro_4515,34.03974,-118.44227,7
bcycle_lametro_4627,34.10185,-118.32514,12
bcycle_lametro_4632,33.98667,-118.44095,9
