fsq_id,bk_station_distance,latitude,longitude,name,category_name,uid
4a15b070f964a520b9781fe3,36,34.034828,-118.231642,Tony's Saloon,Cocktail Bar,bcycle_lametro_3037
55fccaa5498ec525f32b644d,134,34.034393,-118.232483,Everson Rocye Bar,Cocktail Bar,bcycle_lametro_3037
4fc2ae63e4b069481edde91f,132,34.034313,-118.229864,Bread Lounge,Bakery,bcycle_lametro_3037
5b549f2ec97f28002cb31a5f,88,34.034376,-118.231987,Guerrilla Tacos,Latin American Restaurant,bcycle_lametro_3037
60c184c9528f822158a147e8,93,34.035173,-118.232148,Afuri Ramen,Ramen Restaurant,bcycle_lametro_3037
506a1177e4b0bafc66607b7d,225,34.033796,-118.229147,Bestia,Italian Restaurant,bcycle_lametro_3037
522e7d3f11d24521e9d74edf,223,34.033371,-118.229705,Stumptown Coffee Roasters,Coffee Shop,bcycle_lametro_3037
5f8778be9db05a3603df2ab5,260,34.033364,-118.228927,Damian,Mexican Restaurant,bcycle_lametro_3037
5d8583e16c23c00007c42204,390,34.031343,-118.229668,Soho Warehouse,Restaurant,bcycle_lametro_3037
5a9db9347564f7393bbb970f,442,34.030846,-118.230366,Maru Coffee,Café,bcycle_lametro_3037
53c621cb498ecf3134b82684,11,34.038955,-118.232637,Blue Bottle Coffee,"Cafes, Coffee, and Tea Houses",bcycle_lametro_3036
52fcf9ab498e29e90ea6f33b,27,34.039329,-118.232573,Zinc Café & Market,Café,bcycle_lametro_3036
60c3a5ef874c56008f9ead87,127,34.040288,-118.233228,Girl & The Goat LA,Restaurant,bcycle_lametro_3036
5ade034f56c89f3f7d590b9d,260,34.041384,-118.232823,Bavel,American Restaurant,bcycle_lametro_3036
5d5afce2da831b0008c6c441,249,34.041384,-118.232823,Verve Coffee Roasters,"Cafes, Coffee, and Tea Houses",bcycle_lametro_3036
56b698b0498e81e733433c41,206,34.038342,-118.234748,Officine Brera,Italian Restaurant,bcycle_lametro_3036
4a33da8ef964a520559b1fe3,391,34.04201,-118.235311,Urth Caffé,Dining and Drinking,bcycle_lametro_3036
56404d37cd100d9903928baa,446,34.042727,-118.235112,Resident,Music Venue,bcycle_lametro_3036
55fccaa5498ec525f32b644d,531,34.034393,-118.232483,Everson Rocye Bar,Cocktail Bar,bcycle_lametro_3036
60c184c9528f822158a147e8,442,34.035173,-118.232148,Afuri Ramen,Ramen Restaurant,bcycle_lametro_3036
4a5bfb78f964a52018bc1fe3,113,34.048991,-118.254826,The Water Grill,American Restaurant,bcycle_lametro_3032
577effa1498eccce05f8eb71,187,34.051101,-118.25444,71Above,Cocktail Bar,bcycle_lametro_3032
54029e00498e493a199e184d,216,34.048564,-118.254464,Tender Greens,American Restaurant,bcycle_lametro_3032
49e25d07f964a5200f621fe3,306,34.047072,-118.256559,Bottega Louie,Italian Restaurant,bcycle_lametro_3032
4c85b026d4e23704454e8588,302,34.047521,-118.257275,Sugarfish,Sushi Restaurant,bcycle_lametro_3032
57353c56498e900110f3ec86,190,34.048567,-118.257365,85˚C Bakery Café,Bakery,bcycle_lametro_3032
553fda1e498e8a29cd70be09,232,34.048583,-118.253898,Pitchoun,Bakery,bcycle_lametro_3032
4ad6af7bf964a520240821e3,192,34.051312,-118.257203,Drago Centro,Italian Restaurant,bcycle_lametro_3032
56270059498ee82ace998773,306,34.047091,-118.255993,Little Sister,Asian Restaurant,bcycle_lametro_3032
5c12b4cc6dcf04002c84e4f7,174,34.048554,-118.254747,Veggie Grill,Vegan and Vegetarian Restaurant,bcycle_lametro_3032
4a7d028cf964a5204bee1fe3,121,34.056535,-118.24881,Dorothy Chandler Pavilion,Music Venue,bcycle_lametro_3024
548fb583498e8a413751b20f,196,34.056436,-118.250718,Au L.Ac.,Asian Restaurant,bcycle_lametro_3024
563ac687cd101c7dff9cd41b,431,34.054218,-118.251314,Otium,Restaurant,bcycle_lametro_3024
4b452475f964a5201d0626e3,352,34.056963,-118.251152,Bunkerhill Market Deli & Liquor,Deli,bcycle_lametro_3024
58680bee9c439d2cc839d367,765,34.050714,-118.247924,Blue Bottle Coffee,"Cafes, Coffee, and Tea Houses",bcycle_lametro_3024
54938133498ed65f02e8c4ba,904,34.050573,-118.2441,Redbird,Cocktail Bar,bcycle_lametro_3024
4b15f70ff964a52019b623e3,155,34.056378,-118.248453,Kendall's Brasserie,French Restaurant,bcycle_lametro_3024
5865a033424f935d0b310727,867,34.049823,-118.249252,Bar Clacson,Cocktail Bar,bcycle_lametro_3024
577effa1498eccce05f8eb71,894,34.051101,-118.25444,71Above,Cocktail Bar,bcycle_lametro_3024
50d223c5e4b00439552865de,856,34.049951,-118.248476,Maccheroni Republic,Restaurant,bcycle_lametro_3024
4cd750cfa5b3468869a99850,787,34.028777,-118.275318,Jacks N Joe,Fast Food Restaurant,bcycle_lametro_3025
58f9071d50a6f059539233bd,746,34.03856,-118.264183,Cow Cafe,Café,bcycle_lametro_3025
4ed5542fb63478bbf80cacd9,849,34.034474,-118.259014,Santee Falafel,Fast Food Restaurant,bcycle_lametro_3025
5bccfe75872f7d002ce23c2b,766,34.038328,-118.263047,First Draft,Beer Bar,bcycle_lametro_3025
4b52ad0df964a520b88527e3,866,34.028258,-118.275662,Popeyes Louisiana Kitchen,American Restaurant,bcycle_lametro_3025
4edd387661af8a14b9b1b444,977,34.02699,-118.276134,Five Guys Burgers & Fries,Burger Joint,bcycle_lametro_3025
62a3a0c0c9c6f92f08d18d7d,1002,34.040493,-118.262467,Pine & Crane DTLA,Taiwanese Restaurant,bcycle_lametro_3025
5a526bc7a0215b4ead195b0d,771,34.039231,-118.264337,Starbucks,Coffee Shop,bcycle_lametro_3025
4a73fa13f964a520a6dd1fe3,569,34.02806,-118.269575,Mal's Cafe,Music Venue,bcycle_lametro_3025
5ca9398949cf93003768d137,912,34.028221,-118.259888,Panda Express,Chinese Restaurant,bcycle_lametro_3025
4cd750cfa5b3468869a99850,775,34.028777,-118.275318,Jacks N Joe,Fast Food Restaurant,bcycle_lametro_3020
58f9071d50a6f059539233bd,897,34.03856,-118.264183,Cow Cafe,Café,bcycle_lametro_3020
4b884063f964a52079ea31e3,943,34.02634,-118.258509,King Taco Restaurant,Fast Food Restaurant,bcycle_lametro_3020
4ed5542fb63478bbf80cacd9,825,34.034474,-118.259014,Santee Falafel,Fast Food Restaurant,bcycle_lametro_3020
4b52ad0df964a520b88527e3,847,34.028258,-118.275662,Popeyes Louisiana Kitchen,American Restaurant,bcycle_lametro_3020
4edd387661af8a14b9b1b444,929,34.02699,-118.276134,Five Guys Burgers & Fries,Burger Joint,bcycle_lametro_3020
5bccfe75872f7d002ce23c2b,890,34.038328,-118.263047,First Draft,Beer Bar,bcycle_lametro_3020
5202a10a498ec458a71846a5,612,34.030952,-118.274015,Etchea,Bakery,bcycle_lametro_3020
4a73fa13f964a520a6dd1fe3,420,34.02806,-118.269575,Mal's Cafe,Music Venue,bcycle_lametro_3020
5a526bc7a0215b4ead195b0d,927,34.039231,-118.264337,Starbucks,Coffee Shop,bcycle_lametro_3020
5518423c498edbf62812dbe4,69,34.045761,-118.232408,Cafe Gratitude Arts District,Vegan and Vegetarian Restaurant,bcycle_lametro_3022
57ef0ba9498ea3b117dd4e1b,156,34.046153,-118.234821,Manuela To Go,American Restaurant,bcycle_lametro_3022
5801612a38fab747a494609b,219,34.046025,-118.235597,Salt & Straw,Ice Cream Parlor,bcycle_lametro_3022
5f8c87641ae1fc13b29747d9,236,34.045646,-118.235802,Cha Cha CHA,Cocktail Bar,bcycle_lametro_3022
5dfc54b893cd7d000870a262,258,34.04561,-118.235872,Death & Co,Cocktail Bar,bcycle_lametro_3022
565ddc0a498ee555d26003aa,261,34.044584,-118.235217,Arts District Brewing,Arcade,bcycle_lametro_3022
49b064dcf964a520bc521fe3,286,34.045641,-118.235944,Wurstküche,Restaurant,bcycle_lametro_3022
4e992c725c5caa2f44ec6955,293,34.045424,-118.236364,The Pie Hole,Bakery,bcycle_lametro_3022
4d7ad06d51a3a093d5a69bb3,409,34.046327,-118.237654,Angel City Brewery,Bar,bcycle_lametro_3022
56404d37cd100d9903928baa,424,34.042727,-118.235112,Resident,Music Venue,bcycle_lametro_3022
5b429a7e7564f7002c33491d,257,34.035519,-118.253161,Dama,Cocktail Bar,bcycle_lametro_3010
52bb8e18498ead419e5be61a,591,34.041821,-118.256815,The Theatre at Ace Hotel,Music Venue,bcycle_lametro_3010
