uid,latitude,longitude,free_bikes
66,-22.910029,-43.178429,0
26,-22.953387,-43.173126,15
20,-22.953847,-43.196941,0
21,-22.954165,-43.192913,6
22,-22.957157,-43.188818,2
23,-22.956109,-43.185633,7
4,-22.905594,-43.18007,0
8,-22.912771,-43.172129,1
59,-22.914761,-43.240117,1
58,-22.912545,-43.233993,22
55,-22.912498,-43.226217,1
54,-22.912523,-43.222273,10
56,-22.919349,-43.23363,12
51,-22.910637,-43.205672,10
50,-22.977731,-43.22643,2
53,-22.915849,-43.221549,2
81,-22.986208,-43.224574,8
3,-22.906848,-43.181887,0
7,-22.914619,-43.167037,3
33,-22.979976,-43.190754,10
32,-22.975924,-43.188813,13
31,-22.972278,-43.186443,7
30,-22.970645,-43.187914,2
36,-22.987292,-43.196126,0
34,-22.986346,-43.192073,15
60,-22.920075,-43.243779,5
62,-22.925761,-43.245579,0
63,-22.932195,-43.242762,1
64,-22.932108,-43.239622,1
65,-22.90262,-43.182229,1
67,-22.912732,-43.182991,1
68,-22.923425,-43.177206,2
69,-22.926982,-43.176526,8
2,-22.907434,-43.190287,3
6,-22.90411,-43.171636,1
10,-22.920544,-43.177391,10
13,-22.932168,-43.182297,10
12,-22.928415,-43.179264,7
15,-22.938564,-43.193592,5
14,-22.933408,-43.185815,4
16,-22.94057,-43.198005,0
19,-22.949624,-43.188683,2
18,-22.940958,-43.177242,7
48,-22.976067,-43.218609,11
49,-22.975478,-43.227881,8
47,-22.972408,-43.217447,8
44,-22.969634,-43.205854,7
45,-22.965488,-43.203574,5
42,-22.979019,-43.200969,10
43,-22.975651,-43.200159,0
41,-22.980631,-43.207046,11
1,-22.904152,-43.190611,3
9,-22.913925,-43.178669,8
77,-22.980997,-43.221066,15
75,-22.958822,-43.196413,0
74,-22.956734,-43.194864,1
73,-22.956443,-43.191601,4
79,-22.998672,-43.257936,7
217,-22.906336,-43.193822,14
215,-22.911303,-43.168147,2
210,-22.902256,-43.173943,3
165,-22.923657,-43.235984,0
219,-22.909863,-43.192116,0
133,-22.954075,-43.168657,1
132,-22.953549,-43.17946,18
131,-22.951815,-43.184037,15
134,-22.954261,-43.16483,0
139,-22.929609,-43.173929,19
138,-22.933479,-43.177603,5
166,-22.925892,-43.235231,0
160,-22.964274,-43.216241,3
161,-22.965475,-43.218812,1
163,-22.957188,-43.198877,0
285,-23.025158,-43.457011,1
119,-22.961231,-43.211659,1
120,-22.952383,-43.182368,5
121,-22.949665,-43.180933,12
123,-22.949209,-43.185834,2
124,-22.945302,-43.183939,2
126,-22.940035,-43.178655,0
127,-22.939106,-43.176488,3
128,-22.951258,-43.193996,4
129,-22.953276,-43.189421,2
167,-22.924436,-43.232603,13
299,-22.893595,-43.196273,1
290,-23.00989,-43.441094,3
164,-22.921632,-43.236022,2
179,-22.920984,-43.21863,7
195,-22.921017,-43.240144,2
194,-22.924204,-43.238897,0
197,-22.917976,-43.241554,8
178,-22.912239,-43.215234,1
190,-22.91793,-43.217588,18
193,-22.928671,-43.243501,3
192,-22.923702,-43.229355,3
227,-22.905364,-43.185103,0
88,-22.982969,-43.209327,14
89,-22.98424,-43.206539,4
112,-22.950328,-43.167521,1
87,-22.9828,-43.212324,8
84,-22.983846,-43.219619,10
85,-22.983844,-43.215927,10
198,-22.924745,-43.226439,1
256,-22.960477,-43.202726,4
206,-22.901348,-43.174971,0
226,-22.913766,-43.188012,5
177,-22.910341,-43.220415,2
247,-23.003723,-43.325224,17
255,-23.008688,-43.304132,7
225,-22.907336,-43.185757,2
102,-22.976476,-43.194224,11
103,-22.974293,-43.190964,2
101,-22.977519,-43.19171,11
107,-22.966082,-43.189412,4
104,-22.943651,-43.185984,2
105,-22.973054,-43.188691,5
252,-23.000749,-43.351815,6
205,-22.898935,-43.176871,0
223,-22.911129,-43.185822,0
175,-22.922963,-43.222357,8
174,-22.910887,-43.223474,3
173,-22.915517,-43.232327,5
172,-22.91525,-43.229358,2
170,-22.920778,-43.22737,2
222,-22.910626,-43.189274,2
181,-22.910538,-43.202407,6
253,-23.012581,-43.305169,1
248,-23.00429,-43.320717,2
182,-22.909654,-43.200089,14
162,-22.965293,-43.222501,6
184,-22.910896,-43.175531,1
220,-22.912412,-43.19205,1
186,-22.915451,-43.224546,0
188,-22.920432,-43.222574,2
189,-22.914512,-43.21935,8
202,-22.89476,-43.186436,2
196,-22.918668,-43.237611,3
