name,price,rating,review_count,uid,bk_station_distance_y,latitude,longitude,free_bikes
10 Speed Coffee-Santa Monica,$$,0.0,0.0,bcycle_lametro_4216,585,34.02339,-118.47964,9
Bagel Nosh,$$,0.0,0.0,bcycle_lametro_4216,881,34.02339,-118.47964,9
DK's Donuts and Bakery,$$,0.0,0.0,bcycle_lametro_4216,437,34.02339,-118.47964,9
Goodboybob Coffee,$$,0.0,0.0,bcycle_lametro_4216,623,34.02339,-118.47964,9
La Monarca Bakery,$$,0.0,0.0,bcycle_lametro_4216,967,34.02339,-118.47964,9
Santa Monica Brew Works,$$,0.0,0.0,bcycle_lametro_4216,363,34.02339,-118.47964,9
Tacos Por Favor,$$,4.0,1696.0,bcycle_lametro_4216,409,34.02339,-118.47964,9
Tartine Santa Monica,$$,4.0,443.0,bcycle_lametro_4216,781,34.02339,-118.47964,9
The Chestnut Club,$$,0.0,0.0,bcycle_lametro_4216,587,34.02339,-118.47964,9
Veggie Grill,$$,4.0,1016.0,bcycle_lametro_4216,1012,34.02339,-118.47964,9
310 Coffee,$$,0.0,0.0,bcycle_lametro_4556,598,34.00902,-118.42501,6
Accomplice Bar,$$,0.0,0.0,bcycle_lametro_4556,752,34.00902,-118.42501,6
Atmosphere Cafe,$$,0.0,0.0,bcycle_lametro_4556,585,34.00902,-118.42501,6
Coffee Connection,$$,0.0,0.0,bcycle_lametro_4556,987,34.00902,-118.42501,6
Empanada's Place,$,4.5,862.0,bcycle_lametro_4556,554,34.00902,-118.42501,6
Maple Block Meat Co,$$,4.0,1699.0,bcycle_lametro_4556,960,34.00902,-118.42501,6
Quiadaiyn Restaurant,$$,4.5,349.0,bcycle_lametro_4556,941,34.00902,-118.42501,6
Rutt's Express,$$,0.0,0.0,bcycle_lametro_4556,596,34.00902,-118.42501,6
Sara The Wine Bar,$$,4.5,517.0,bcycle_lametro_4556,936,34.00902,-118.42501,6
Taco Stand on Centinela and Venice,$$,0.0,0.0,bcycle_lametro_4556,974,34.00902,-118.42501,6
310 Coffee,$$,0.0,0.0,bcycle_lametro_4555,741,34.00587,-118.42916,4
Alana's Coffee Roasters,$$,0.0,0.0,bcycle_lametro_4555,607,34.00587,-118.42916,4
Coffee Connection,$$,0.0,0.0,bcycle_lametro_4555,469,34.00587,-118.42916,4
Little Fatty,$$,4.0,993.0,bcycle_lametro_4555,236,34.00587,-118.42916,4
Quiadaiyn Restaurant,$$,4.5,349.0,bcycle_lametro_4555,424,34.00587,-118.42916,4
Rustic Kitchen Market And Cafe,$$,0.0,0.0,bcycle_lametro_4555,973,34.00587,-118.42916,4
